DBN,School Name,Borough, District,School Type,Split Sited,Co-located at Any Site,Total Enrollment,Grades 3K-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiracial,% Native American,% White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,2024-25 ELA # Tested,2024-25 ELA # Proficient (L3&4),2024-25 ELA % Proficient (L3&4),2024-25 Math # Tested,2024-25 Math # Proficient (L3&4),2024-25 Math % Proficient (L3&4),2023-24 Total 4-year August Grad Cohort,2023-24 % 4-year August Graduates,2023-24 Total 6-year Grad Cohort,2023-24 % 6-year Graduates
29Q037,Cynthia Jenkins School,Q,29,Elementary,,Y,291,291,0,0,2.1%,76.3%,15.1%,1.7%,2.7%,2.1%,0.0%,23.7%,10.0%,79.0%,132,70,53.0%,136,64,47.1%,,,,
29Q059,I.S. 059 Springfield Gardens,Q,29,Junior High-Intermediate-Middle,,Y,407,0,407,0,3.7%,76.4%,14.3%,1.2%,3.7%,0.7%,0.0%,18.9%,8.8%,70.8%,399,195,48.9%,368,144,39.1%,,,,
29Q095,P.S. 095 Eastwood,Q,29,Elementary,Y,Y,1112,1112,0,0,42.4%,8.1%,41.7%,1.3%,5.8%,0.7%,0.0%,12.7%,32.2%,81.0%,424,289,68.2%,418,322,77.0%,,,,
29Q134,P.S. 134 Hollis,Q,29,Elementary,,Y,325,325,0,0,22.8%,44.9%,26.5%,0.3%,4.6%,0.6%,0.3%,18.5%,25.2%,86.5%,136,71,52.2%,142,65,45.8%,,,,
29Q136,P.S. 136 Roy Wilkins,Q,29,Elementary,,Y,338,338,0,0,10.9%,75.7%,11.8%,0.6%,0.9%,0.0%,0.0%,18.3%,13.3%,93.5%,146,79,54.1%,150,79,52.7%,,,,
29Q138,P.S./M.S. 138 Sunrise,Q,29,K-8,,Y,568,298,270,0,5.3%,66.2%,18.0%,3.0%,3.7%,3.9%,0.0%,16.7%,13.0%,79.2%,363,159,43.8%,374,147,39.3%,,,,
29Q147,P.S./M.S. 147 Ronald McNair,Q,29,K-8,,Y,428,252,176,0,3.0%,75.0%,16.8%,0.9%,2.8%,1.2%,0.2%,24.1%,11.0%,73.6%,289,108,37.4%,287,67,23.3%,,,,
29Q156,P.S. 156 Laurelton,Q,29,Elementary,,Y,172,172,0,0,3.5%,72.7%,19.2%,0.6%,0.6%,3.5%,0.0%,19.8%,8.7%,84.3%,79,49,62.0%,83,38,45.8%,,,,
29Q192,I.S. 192 The Linden,Q,29,Junior High-Intermediate-Middle,,Y,356,0,356,0,15.2%,61.0%,18.8%,1.7%,3.1%,0.3%,0.0%,19.4%,18.0%,80.3%,330,131,39.7%,362,112,30.9%,,,,
29Q208,P.S./I.S. 208,Q,29,K-8,,Y,616,264,352,0,13.1%,56.8%,15.1%,3.1%,10.4%,1.5%,0.0%,25.3%,2.6%,62.0%,417,241,57.8%,407,226,55.5%,,,,
29Q238,I.S. 238 - Susan B. Anthony Academy,Q,29,Junior High-Intermediate-Middle,,Y,838,0,838,0,33.4%,21.2%,37.6%,0.8%,5.7%,1.2%,0.0%,14.7%,24.3%,85.0%,771,352,45.7%,731,314,43.0%,,,,
29Q243,Institute for Health Professions at Cambria Heights,Q,29,High school,,Y,462,0,0,462,7.4%,70.8%,11.9%,0.0%,1.5%,0.6%,7.8%,11.3%,6.7%,79.9%,,,0.0%,,,,121,91.7%,104,86.5%
